代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	
000001	平安银行	0.10	10.35	0.01	10.35	10.36	481561	8719	          0.00	          0.72	10.29	10.41	10.26	10.34	     5.87	497919616	  0.79	银行	深圳	 1.45	10.34	224452	257109	
000002	万  科Ａ	0.21	9.35	0.02	9.35	9.36	582370	2881	          0.00	          0.60	9.26	9.37	9.24	9.33	    10.71	542859584	  0.83	全国地产	深圳	 1.39	9.32	288196	294174	
000004	国农科技	0.13	14.95	0.02	14.95	14.96	33964	770	          0.06	          4.05	14.80	14.99	14.73	14.93	--  	50628660	  1.36	生物制药	深圳	 1.74	14.91	16589	17375	
000005	世纪星源	0.77	2.63	0.02	2.62	2.63	167368	4298	          0.38	          1.83	2.60	2.64	2.60	2.61	--  	43868524	  1.03	区域地产	深圳	 1.53	2.62	60619	106749	
000006	深振业Ａ	3.18	5.51	0.17	5.50	5.51	349647	3860	          0.18	          2.61	5.37	5.58	5.31	5.34	    75.68	191801152	  1.05	区域地产	深圳	 5.06	5.49	154625	195022	
000007	零七股份	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.51	--  	0	  0.00	酒店餐饮	深圳	 0.00	11.51	0	0	
000008	宝利来	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.40	   147.70	0	  0.00	综合类	深圳	 0.00	8.40	0	0	
000009	中国宝安	2.91	12.72	0.36	12.71	12.72	1469018	13565	         -0.15	          9.86	12.51	13.16	12.51	12.36	    64.60	1885538304	  2.77	全国地产	深圳	 5.26	12.84	659861	809157	
000010	深华新	-0.27	7.29	-0.02	7.29	7.30	73381	963	          0.13	          2.05	7.29	7.38	7.21	7.31	--  	53321888	  0.31	建筑施工	北京	 2.33	7.27	44783	28598	
000011	深物业A	1.68	7.85	0.13	7.84	7.85	49070	942	          0.12	          2.79	7.73	7.89	7.72	7.72	    20.87	38379460	  0.39	区域地产	深圳	 2.20	7.82	24444	24626	
000012	南  玻Ａ	0.13	7.55	0.01	7.54	7.55	167514	1498	          0.13	          1.29	7.55	7.57	7.48	7.54	    13.30	126002680	  0.50	玻璃	深圳	 1.19	7.52	104010	63504	
000014	沙河股份	-0.48	12.45	-0.06	12.44	12.45	36323	1398	         -0.08	          1.80	12.37	12.66	12.36	12.51	    21.77	45351616	  0.67	全国地产	深圳	 2.40	12.49	20839	15484	
000016	深康佳Ａ	0.00	4.90	0.00	4.89	4.90	122434	545	          0.40	          2.04	4.90	4.92	4.85	4.90	   154.88	59756448	  0.49	家用电器	深圳	 1.43	4.88	78968	43466	
000017	深中华A	2.35	6.53	0.15	6.52	6.53	46279	495	          0.00	          1.53	6.39	6.61	6.39	6.38	   960.34	30074102	  1.62	文教休闲	深圳	 3.45	6.50	16393	29886	
000018	中冠A	--  	0.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.44	--  	0	  0.00	纺织	深圳	 0.00	10.44	0	0	
000019	深深宝Ａ	0.80	7.52	0.06	7.50	7.52	29862	555	          0.26	          1.18	7.41	7.52	7.38	7.46	--  	22261600	  0.91	软饮料	深圳	 1.88	7.45	15894	13968	
